grade,chapter_title,chapter_order,topic_title,topic_order,type,question_text,question_image,option_1,option_2,option_3,option_4,correct_option,fill_answer,fill_variants,explanation,difficulty
1,Phép trừ,3,Trừ trong phạm vi 10,1,mcq,9 - 0 = ?,,8,9,10,7,2,,,Trừ 0 kết quả không đổi: 9 - 0 = 9,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,fill,6 - 6 = ?,,,,,,,0,không,Số trừ chính nó bằng 0,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,mcq,10 - 1 = ?,,7,8,9,10,3,,,10 - 1 = 9,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,fill,? - 3 = 5,,,,,,,8,tám,5 + 3 = 8,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,mcq,Hộp có 7 bánh. Ăn 2 cái. Còn lại mấy cái?,,3,4,5,6,3,,,7 - 2 = 5 chiếc bánh,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,mcq,8 - 2 - 3 = ?,,2,3,4,5,2,,,8 - 2 = 6; 6 - 3 = 3,2
1,Phép trừ,3,Trừ trong phạm vi 20,2,mcq,20 - 10 = ?,,8,9,10,11,3,,,20 - 10 = 10,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,fill,17 - 4 = ?,,,,,,,13,mười ba,17 - 4 = 13,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,mcq,19 - 8 = ?,,9,10,11,12,3,,,19 - 8 = 11,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,fill,? - 6 = 9,,,,,,,15,mười lăm,9 + 6 = 15,2
1,Phép trừ,3,Trừ trong phạm vi 20,2,mcq,Có 18 con gà. Bán 5 con. Còn lại mấy con?,,11,12,13,14,3,,,18 - 5 = 13,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,mcq,20 - 5 - 7 = ?,,6,7,8,9,3,,,20 - 5 = 15; 15 - 7 = 8,2
1,Hình học,4,Nhận biết hình,1,fill,Hình vuông có bao nhiêu góc?,,,,,,,4,bốn,Hình vuông có 4 góc vuông,1
1,Hình học,4,Nhận biết hình,1,mcq,Vật nào có dạng hình tròn?,,Quyển sách,Đồng xu,Viên gạch,Cái thước,2,,,Đồng xu có dạng hình tròn,1
1,Hình học,4,Nhận biết hình,1,fill,Hình chữ nhật có bao nhiêu cạnh?,,,,,,,4,bốn,Hình chữ nhật có 4 cạnh,1
1,Hình học,4,Đặc điểm các hình,2,mcq,Hình nào có 3 đỉnh?,,Hình vuông,Hình tam giác,Hình chữ nhật,Hình tròn,2,,,Hình tam giác có 3 đỉnh và 3 cạnh,1
1,Hình học,4,Đặc điểm các hình,2,mcq,Hình vuông và hình chữ nhật đều có bao nhiêu cạnh?,,2,3,4,5,3,,,Cả hai đều có 4 cạnh,1
1,Hình học,4,Đặc điểm các hình,2,fill,Hình tam giác có bao nhiêu cạnh?,,,,,,,3,ba,Tam giác = 3 cạnh,1
1,Hình học,4,Đặc điểm các hình,2,mcq,Hình nào có tất cả các cạnh bằng nhau?,,Hình chữ nhật,Hình tam giác thường,Hình vuông,Hình thang,3,,,Hình vuông có 4 cạnh bằng nhau,1
1,Hình học,4,Đặc điểm các hình,2,mcq,Vật nào có dạng hình chữ nhật?,,Đĩa,Quyển sách,Quả bóng,Đồng hồ tròn,2,,,Quyển sách có dạng hình chữ nhật,1
1,Đo lường,5,So sánh độ dài,1,mcq,Sợi dây A dài 5 cm. Sợi dây B dài 8 cm. Sợi nào ngắn hơn?,,A,B,Bằng nhau,Không biết,1,,,5 cm < 8 cm nên dây A ngắn hơn,1
1,Đo lường,5,So sánh độ dài,1,fill,Bút chì dài 12 cm. Thước dài 20 cm. Thước dài hơn bút chì bao nhiêu cm?,,,,,,,8,tám,20 - 12 = 8 cm,2
1,Đo lường,5,So sánh độ dài,1,mcq,Đơn vị nào dùng để đo chiều dài?,,kg,cm,lít,giờ,2,,,cm (xăng-ti-mét) là đơn vị đo chiều dài,1
1,Đo lường,5,Đơn vị đo,2,mcq,1 m bằng bao nhiêu cm?,,10,100,1000,1,2,,,1 m = 100 cm,2
1,Đo lường,5,Đơn vị đo,2,fill,2 dm bằng bao nhiêu cm?,,,,,,,20,hai mươi,1 dm = 10 cm nên 2 dm = 20 cm,2
1,Đo lường,5,Đơn vị đo,2,mcq,Đơn vị nào lớn hơn: cm hay dm?,,cm,dm,Bằng nhau,Không so sánh được,2,,,1 dm = 10 cm nên dm lớn hơn,1
1,Đo lường,5,Đơn vị đo,2,fill,5 dm = ? cm,,,,,,,50,năm mươi,5 × 10 = 50 cm,2
1,Đo lường,5,Đơn vị đo,2,mcq,Chiều cao bạn Minh là 12 dm. Đổi ra cm là?,,12,120,1200,1200,2,,,12 dm = 12 × 10 = 120 cm,2
1,Đo lường,5,Đơn vị đo,2,mcq,Sợi dây dài 3 dm 5 cm = ? cm,,30,35,53,350,2,,,3 dm = 30 cm; 30 + 5 = 35 cm,3
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,fill,9 + 4 = ?,,,,,,,13,mười ba,9 + 1 = 10; 10 + 3 = 13,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,mcq,5 + 7 = ?,,10,11,12,13,3,,,5 + 5 = 10; 10 + 2 = 12,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,fill,8 + 8 = ?,,,,,,,16,mười sáu,8 + 2 = 10; 10 + 6 = 16,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,mcq,4 + 9 = ?,,11,12,13,14,3,,,4 + 6 = 10; 10 + 3 = 13,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,mcq,Hộp thứ nhất có 7 quả. Hộp thứ hai có 8 quả. Tất cả bao nhiêu quả?,,13,14,15,16,3,,,7 + 8 = 15,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,fill,3 + 9 = ?,,,,,,,12,mười hai,3 + 7 = 10; 10 + 2 = 12,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,fill,12 - 4 = ?,,,,,,,8,tám,12 - 2 = 10; 10 - 2 = 8,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,14 - 7 = ?,,5,6,7,8,3,,,14 - 4 = 10; 10 - 3 = 7,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,fill,11 - 3 = ?,,,,,,,8,tám,11 - 1 = 10; 10 - 2 = 8,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,17 - 8 = ?,,7,8,9,10,3,,,17 - 7 = 10; 10 - 1 = 9,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,Có 15 bông hoa. Cắm vào bình 6 bông. Còn lại mấy bông?,,7,8,9,10,3,,,15 - 5 = 10; 10 - 1 = 9,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,fill,20 - 13 = ?,,,,,,,7,bảy,20 - 10 = 10; 10 - 3 = 7,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,? - 8 = 5,,11,12,13,14,3,,,5 + 8 = 13 nên ? = 13,3
1,Số học cơ bản,1,So sánh các số,3,mcq,Số nào bằng 10 + 5?,,13,14,15,16,3,,,10 + 5 = 15,1
1,Số học cơ bản,1,So sánh các số,3,fill,Số đứng liền trước 17 là?,,,,,,,16,mười sáu,17 - 1 = 16,1
1,Phép cộng,2,Cộng trong phạm vi 10,1,mcq,2 + 7 = ?,,7,8,9,10,3,,,2 + 7 = 9,1
1,Phép cộng,2,Cộng trong phạm vi 10,1,fill,1 + 1 + 1 + 1 = ?,,,,,,,4,bốn,1 + 1 = 2; 2 + 1 = 3; 3 + 1 = 4,1
1,Phép cộng,2,Cộng trong phạm vi 20,2,fill,9 + 9 = ?,,,,,,,18,mười tám,9 + 1 = 10; 10 + 8 = 18,2
1,Phép cộng,2,Cộng trong phạm vi 20,2,mcq,13 + 6 = ?,,17,18,19,20,3,,,13 + 6 = 19,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,fill,9 - 5 = ?,,,,,,,4,bốn,9 - 5 = 4,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,mcq,7 - 0 = ?,,5,6,7,8,3,,,Trừ 0 kết quả không đổi: 7 - 0 = 7,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,fill,20 - 15 = ?,,,,,,,5,năm,20 - 15 = 5,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,mcq,16 - 3 = ?,,11,12,13,14,3,,,16 - 3 = 13,1
1,Hình học,4,Nhận biết hình,1,mcq,Hình nào giống mặt đồng hồ treo tường tròn?,,Hình vuông,Hình chữ nhật,Hình tròn,Hình tam giác,3,,,Mặt đồng hồ tròn có dạng hình tròn,1
1,Hình học,4,Đặc điểm các hình,2,fill,Hình tròn có bao nhiêu cạnh?,,,,,,,0,không,Hình tròn là đường cong khép kín không có cạnh thẳng,1
1,Đo lường,5,So sánh độ dài,1,mcq,Con đường A dài 100 m. Con đường B dài 90 m. Con đường nào ngắn hơn?,,A,B,Bằng nhau,Không biết,2,,,90 m < 100 m nên đường B ngắn hơn,1
1,Đo lường,5,Đơn vị đo,2,fill,3 m = ? dm,,,,,,,30,ba mươi,1 m = 10 dm; 3 m = 30 dm,3
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,mcq,6 + 9 = ?,,13,14,15,16,3,,,6 + 4 = 10; 10 + 5 = 15,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,fill,7 + 7 = ?,,,,,,,14,mười bốn,7 + 3 = 10; 10 + 4 = 14,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,mcq,8 + 6 = ?,,12,13,14,15,3,,,8 + 2 = 10; 10 + 4 = 14,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,13 - 6 = ?,,5,6,7,8,3,,,13 - 3 = 10; 10 - 3 = 7,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,fill,15 - 8 = ?,,,,,,,7,bảy,15 - 5 = 10; 10 - 3 = 7,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,18 - 9 = ?,,7,8,9,10,3,,,18 - 8 = 10; 10 - 1 = 9,2
1,Số học cơ bản,1,Số từ 1 đến 10,1,fill,Số liền sau của 6 là?,,,,,,,7,bảy,6 + 1 = 7,1
1,Số học cơ bản,1,Số từ 11 đến 20,2,mcq,Số nào lớn hơn 15 và bé hơn 18?,,13,16,18,20,2,,,15 < 16 < 18,1
1,Phép cộng,2,Cộng trong phạm vi 10,1,fill,5 + 5 = ?,,,,,,,10,mười,5 + 5 = 10,1
1,Phép trừ,3,Trừ trong phạm vi 10,1,fill,10 - 0 = ?,,,,,,,10,mười,Trừ 0 không thay đổi số,1
1,Hình học,4,Đặc điểm các hình,2,mcq,Hình nào không có cạnh thẳng?,,Hình vuông,Hình chữ nhật,Hình tròn,Hình tam giác,3,,,Hình tròn là đường cong nên không có cạnh thẳng,1
1,Đo lường,5,So sánh độ dài,1,fill,Đoạn thẳng AB dài 7 cm. Đoạn CD dài 12 cm. Đoạn CD dài hơn AB bao nhiêu cm?,,,,,,,5,năm,12 - 7 = 5 cm,2
1,Cộng và trừ có nhớ,6,Cộng có nhớ trong 20,1,fill,9 + 6 = ?,,,,,,,15,mười lăm,9 + 1 = 10; 10 + 5 = 15,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,fill,16 - 9 = ?,,,,,,,7,bảy,16 - 6 = 10; 10 - 3 = 7,2
1,Cộng và trừ có nhớ,6,Trừ có nhớ trong 20,2,mcq,11 - 4 = ?,,5,6,7,8,3,,,11 - 1 = 10; 10 - 3 = 7,2
1,Phép cộng,2,Cộng trong phạm vi 20,2,mcq,8 + 11 = ?,,17,18,19,20,3,,,8 + 11 = 19,1
1,Phép trừ,3,Trừ trong phạm vi 20,2,mcq,14 - 6 = ?,,6,7,8,9,3,,,14 - 4 = 10; 10 - 2 = 8,2
1,Số học cơ bản,1,So sánh các số,3,mcq,Số nào là số chẵn?,,3,5,7,8,4,,,8 chia hết cho 2 nên là số chẵn,2
