grade,chapter_title,chapter_order,topic_title,topic_order,type,question_text,question_image,option_1,option_2,option_3,option_4,correct_option,fill_answer,fill_variants,explanation,difficulty
2,Giới thiệu phép nhân,4,"Bảng nhân 2, 3, 4",2,mcq,Mỗi hộp có 4 cái bánh. Có 5 hộp. Tất cả có bao nhiêu cái bánh?,,16,18,20,22,3,,,4 × 5 = 20 cái bánh,2
2,Giới thiệu phép nhân,4,"Bảng nhân 5, 10",3,fill,5 × 6 = ?,,,,,,,30,ba mươi,5 × 6 = 30,1
2,Giới thiệu phép nhân,4,"Bảng nhân 5, 10",3,mcq,10 × 4 = ?,,14,40,44,400,2,,,10 × 4 = 40,1
2,Giới thiệu phép nhân,4,"Bảng nhân 5, 10",3,mcq,Mỗi túi có 5 quả táo. Có 8 túi. Tất cả có bao nhiêu quả?,,35,40,45,50,2,,,5 × 8 = 40 quả táo,2
2,Giới thiệu phép nhân,4,"Bảng nhân 2, 3, 4",2,fill,2 × 9 = ?,,,,,,,18,mười tám,2 × 9 = 18,1
2,"Đo độ dài, trọng lượng",5,"Đo độ dài (cm, m)",1,mcq,1 m bằng bao nhiêu cm?,,10,100,1000,50,2,,,1 m = 100 cm,1
2,"Đo độ dài, trọng lượng",5,"Đo độ dài (cm, m)",1,fill,3 m = ? cm,,,,,,,300,ba trăm,3 × 100 = 300 cm,2
2,"Đo độ dài, trọng lượng",5,"Đo độ dài (cm, m)",1,mcq,Bút chì dài 15 cm. Thước kẻ dài 30 cm. Thước dài hơn bút chì bao nhiêu cm?,,10,15,25,45,2,,,30 - 15 = 15 cm,1
2,"Đo độ dài, trọng lượng",5,So sánh độ dài,2,mcq,Sợi dây A dài 45 cm. Sợi dây B dài 1 m. Sợi nào dài hơn?,,Dây A,Dây B,Bằng nhau,Không biết,2,,,1 m = 100 cm > 45 cm nên dây B dài hơn,2
2,"Đo độ dài, trọng lượng",5,So sánh độ dài,2,fill,Đoạn thẳng AB dài 56 cm. Đoạn CD dài 78 cm. CD dài hơn AB bao nhiêu cm?,,,,,,,22,hai mươi hai,78 - 56 = 22 cm,2
2,"Đo độ dài, trọng lượng",5,So sánh độ dài,2,mcq,"Sắp xếp theo thứ tự tăng dần: 1 m; 50 cm; 80 cm",,1 m - 50 cm - 80 cm,50 cm - 80 cm - 1 m,80 cm - 50 cm - 1 m,50 cm - 1 m - 80 cm,2,,,50 cm < 80 cm < 1 m (100 cm),2
2,"Đo độ dài, trọng lượng",5,Cân nặng (kg),3,mcq,Quả dưa hấu nặng 3 kg. Quả bí nặng 5 kg. Cả hai nặng bao nhiêu kg?,,7,8,9,10,2,,,3 + 5 = 8 kg,1
2,"Đo độ dài, trọng lượng",5,Cân nặng (kg),3,fill,Túi gạo nặng 10 kg. Lấy ra 4 kg. Còn lại bao nhiêu kg?,,,,,,,6,sáu,10 - 4 = 6 kg,1
2,"Đo độ dài, trọng lượng",5,Cân nặng (kg),3,mcq,Con gà nặng 2 kg. Con vịt nặng gấp đôi con gà. Con vịt nặng bao nhiêu kg?,,2,3,4,6,3,,,2 × 2 = 4 kg,2
2,"Đo độ dài, trọng lượng",5,"Đo độ dài (cm, m)",1,fill,150 cm = 1 m và ? cm,,,,,,,50,năm mươi,150 - 100 = 50 cm,2
